805366 Moore, Shemar
404880 Garfield, Andrew
926521 Poitier, Sidney
160676 Buscemi, Steve
727799 Mantegna, Joe
322308 Duvall, Robert
495973 Henderson, Martin
820277 Muniz, Frankie
203808 Cherry, Jonathan
610715 Kinnear, Greg
50400 Atkinson, Rowan
352695 Farina, Dennis
2541 Abercrombie, Ian
868738 Olsen, Gary
1176284 Trachta, Jeff
229523 Connery, Jason
429552 Goldwyn, Tony
73763 Barrett, Brendon Ryan
373109 Florido, Giovanni
2819 Abkarian, Simon
253762 Cusack, John
649568 Lamure, Dominique
145051 Broomfield, Nick
922635 Pitt, Brad
306831 Donovan, Jeffrey
72695 Baron Cohen, Sacha
92628 Benjamin, Owen
1102535 Spacey, Kevin
568626 Jonathan, Wesley
365889 Findlay, Freddie
1127573 Sturgess, Jim
1229907 Walker, Nicholas
627369 Koteas, Elias
1035996 Sawa, Devon
242841 Coyote, Peter
123891 Borchardt, Mark
148984 Browning, Chris
293879 Di Stefano, Andrea
894035 Pastore, Vincent
321879 Dutcher, Richard
129914 Bowen, AJ
820277 Muniz, Frankie
813493 Mosby, Josh
969169 Renfro, Brad
764577 McKidd, Kevin
661 Aaronson, Scott
1199142 Van Cleef, Lee
317454 Duke, Trevor
33039 Andrews, Greg
166963 Cage, Nicolas
89828 Bellows, Gil
487524 Hawke, Ethan
386467 Freeman, Morgan
112258 Blakemore, Sean
914989 Phillippe, Ryan
276151 De Niro, Robert
689692 Lloyd, Christopher
907110 Perlman, Ron
361995 Ferrell, Will
114068 Blessed, Brian
1010888 Rush, Geoffrey
628683 Kove, Martin
240081 Coughlin, Brendan Michael
790787 Minghella, Max
386924 Freiss, Stéphane
841393 Newcombe, John
122533 Bonneville, Hugh
542472 Irons, Nicholas
613405 Kitano, Takeshi
755930 McCarthy-Boyington, Paul
31426 Anderson, Steve
908929 Pertwee, Sean
262340 Daniels, Jeff
898463 Paymer, David
71917 Barnes, Jim J.
326946 Eckhart, Aaron
990587 Rodoreda, Andy
239299 Costner, Kevin
883870 Palmer, Hubbel
228460 Conder, Robert
498101 Hensley, John
1222209 von Detten, Erik
1261823 Willis, Bruce
152516 Bucatinsky, Dan
653312 LaPaglia, Anthony
808876 Morgan, Curtis
983843 Roache, Linus
998154 Rooker, Michael
8590 Affleck, Ben
361995 Ferrell, Will
774342 Mendelsohn, Ben
134769 Branagh, Kenneth
669162 Lehrer, Lucky
836803 Neeson, Liam
687923 Littlejohn, Jesse
913570 Peña, Luis Fernando
133094 Bradford, Jesse
386467 Freeman, Morgan
241632 Cowan, Omar
435561 Gordon-Levitt, Joseph
377174 Forest, Michael
53726 Aviles, Jesse 'The Human Bomb'
672735 Leonard, Joshua
920939 Pinto, Dan
368184 Fishburne, Laurence
72080 Barnes, Rick
177740 Cardona, Manolo
130039 Bowen, Michael
3835 Abu Namous, Omar
965516 Regirer, Ofer
960421 Ray, Aldo
1232132 Walsh, Martin
1019465 Saint, Steve
715197 Madsen, Michael
382814 Franco, James
664539 Ledger, Heath
1112445 Stear, Rick
297980 Dillon, Matt
1270949 Wong, Victor
790787 Minghella, Max
179877 Carman
844270 Nicholson, Jack
190899 Cavanagh, Tom
606792 Kilmer, Val
1272704 Woods, James
1102842 Spall, Timothy
353698 Farrell, Colin
445077 Green, Tom
940739 Pryce, Jonathan
250115 Cube, Ice
1008924 Ruffalo, Mark
491279 Heavener, David
211731 Church, Thomas Haden
1133017 Sutcliffe, David
268435 Davis, Don S.
858908 O'Donahue, Dan
248654 Cruise, Tom
670100 Leitch, Matthew
1177673 Travolta, John
1054713 Seinfeld, Jerry
601758 Kesey, Ken
321212 Durkin, Brian F.
542464 Irons, Jeremy
759795 McDorman, Jake
318039 Dumont, José
393544 Furst, Griff
1220766 Vogel, Mike
858205 O'Connell, Jerry
739066 Martin, Steve
450471 Grodin, Charles
173566 Canady, Tylan
1127294 Stuhlbarg, Michael
669675 Leigh, Kharl Anton
1155261 Terrence, Krissada
1256151 Wilde, Mark
1261823 Willis, Bruce
347218 Everett, Rupert
448963 Griffith, Thomas Ian
132882 Bradberry, Robert Jonathan
458439 Gurrola-Gal, F.X.
774342 Mendelsohn, Ben
195 50 Cent
21338 Allen, Erik
85129 Beckett, Joshua
336885 Embry, Ethan
229230 Connell, Gaelan
359185 Ferguson, Craig
850837 Nolte, Nick
301652 DMX
350523 Falch, Michael
666519 Lee, Mike
1187663 Turturro, John
24113 Alscher, Joshua
779239 Metcalfe, Jesse
61036 Bairstow, Scott
818754 Mulhern, Glen
1099207 Song, Kang-ho
310712 Downey Jr., Robert
122702 Bonsall, Brian
771489 Meier-Lautenschläger, Helmuth
295391 DiCaprio, Leonardo
825810 Myers, Mike
129918 Bowen, Andrew
1004692 Rourke, Mickey
215148 Clark, Hamish
478055 Harkishin, Jimmi
478564 Harmon, Zach
29272 Anconina, Richard
424936 Glen, Iain
354900 Faulkner, James
165325 Caan, Scott
33033 Andrews, Giuseppe
126691 Bostick, Devon
149943 Brumfield, Aaron
171758 Campbell Moore, Stephen
33188 Andrews, Naveen
588535 Kartheiser, Vincent
270082 Davison, Joe
473673 Hanks, Tom
330186 Egglesfield, Colin
526996 Hubley, Whip
702845 Luke, Derek
371603 Fletcher, Dexter
346987 Eve, Trevor
96637 Bergin, Patrick
92519 Benjamin, André
6833 Adamson, Dylan
815768 Mount, Anson
1248443 West, Shane
90405 Belushi, James
374421 Fogler, Dan
512545 Hoffman, Dustin
1073857 Siddig, Alexander
1084507 Skarsgård, Stellan
412945 George, Deva
39909 Arata, Michael
421534 Giménez Cacho, Daniel
434022 Goodridge, Thomas
343272 Esparza, Juan Ángel
613405 Kitano, Takeshi
786819 Miller, Colin
1843 Abdo, Steve
338799 Engler, Travis
636810 Kulas, Jason
11304 Ahn, Kil-Kang
12549 Ajtay, Andor
220569 Cochrane, Rory
242841 Coyote, Peter
253762 Cusack, John
1159667 Thomas, Henry
839589 Nesbitt, James
903726 Penn, Sean
950682 Raffaelli, Cyril
250115 Cube, Ice
103035 Bezzerides, A.I.
945794 Quaid, Randy
400021 Gamble, Mason
110363 Black, Jack
505397 Highmore, Freddie
1106875 Sprouse, Cole
249610 Crystal, Billy
312423 Draven, Jamie
441352 Grant, Hugh
420294 Gillen, Aidan
687189 Lissauer, Trevor
242841 Coyote, Peter
790586 Miner, Griffin
757208 McConnell, John
487159 Haven, James
452814 Gruselle, Pascal
1163272 Thornton, Billy Bob
659382 Law, Jude
1027569 Sandler, Adam
903726 Penn, Sean
501026 Heron, Blake
1264093 Wilson, Patrick
306831 Donovan, Jeffrey
1240234 Wayne, John
1095294 Snyder, Dana
436658 Goss, Luke
713990 Macy, William H.
1233873 Wang, Luoyong
276151 De Niro, Robert
49932 Atherton, William
179838 Carlyle, Robert
618483 Knoll, Matthew
433562 Gooding Jr., Cuba
1280979 Yaqub, Atta
806367 Morales, Esai
166963 Cage, Nicolas
1116767 Stern, Daniel
428489 Goldblum, Jeff
1177673 Travolta, John
815931 Mourali, Cyril
696466 Loret, Alexis
603772 Khan, Shahrukh
82756 Bean, Sean
689692 Lloyd, Christopher
280167 Decker, Jonathan
288600 Depp, Johnny
1177673 Travolta, John
262340 Daniels, Jeff
648415 Lambert, Christopher
834337 Naughton, David
527546 Hudson, Oliver
1207556 Vazquez, Yul
1014545 Rylance, Mark
126996 Botero, Rodrigo
536281 Iaia, Andrea
1065864 Sheen, Charlie
830383 Naji, Mohammad Amir
262573 Daniels, William
105555 Biggs, Jason
124706 Borgnine, Ernest
915565 Phillips, Lou Diamond
22229 Allen, Woody
336589 Elwes, Cary
1235980 Warner, Dan
382872 Franco, Luis Ernesto
331448 Eisenberg, Jesse
844270 Nicholson, Jack
488156 Hawthorne, Nigel
435561 Gordon-Levitt, Joseph
57325 Bachar, Dian
985264 Roberts, Eric
1084759 Skerritt, Tom
665887 Lee, Jason
1232623 Walters, Ashley
223904 Coleman, Alex
959144 Ratner, Benjamin
353698 Farrell, Colin
95455 Berenger, Tom
1086595 Slater, Christian
755580 McCarthy, Andrew
1177673 Travolta, John
384660 Fraser, Brendan
1273811 Worley, Billie
399041 Gallo, Vincent
1261823 Willis, Bruce
195 50 Cent
1135696 Swayze, Patrick
1184140 Tucci, Stanley
867641 Oliver, Christian
1263865 Wilson, Luke
593927 Keaton, Michael
1086836 Slaughter, Leon
11730 Aiello, Danny
449496 Grillo, Frank
1240086 Wayans, Damon
942450 Pullman, Bill
350680 Falcone, Pietro
486806 Hauser, Cole
324393 Díaz, Robinson
1109828 Standing, John
186994 Cassel, Seymour
483279 Hartnett, Josh
1123702 Strait, Steven
813200 Morton, Joe
489736 Hays, Robert
787719 Miller, Larry
52816 Auteuil, Daniel
414078 Gere, Richard
460331 Guzmán, Luis
1011715 Russell, Kurt
419538 Gilbertson, Harrison
595269 Keitel, Harvey
735734 Marsden, James
276151 De Niro, Robert
940739 Pryce, Jonathan
248209 Crowe, Russell
64105 Bale, Christian
157696 Burke, Bryan
1192255 Ungalaaq, Natar
359296 Ferguson, Jay R.
1249809 Whaley, Frank
932151 Postlethwaite, Pete
711208 MacFarlane, Seth
693261 London, Jeremy
415418 Gets, Malcolm
957870 Raque, Adam
754718 McBurney, Simon
848892 Niven, David
665887 Lee, Jason
689692 Lloyd, Christopher
295391 DiCaprio, Leonardo
113221 Blanks, Billy
727799 Mantegna, Joe
976317 Richardson, John
389935 Frost, Alex
114165 Blevins, Ronnie Gene
72695 Baron Cohen, Sacha
145190 Brosnan, Pierce
693717 Long, Justin
977481 Rickman, Alan
595269 Keitel, Harvey
1048112 Schwarzenegger, Arnold
113626 Blaustein, Barry W.
250115 Cube, Ice
858205 O'Connell, Jerry
43639 Armstrong, Ronald K.
322094 Dutton, Charles S.
1155738 Terzian, Matt
1133182 Sutherland, Kiefer
1270949 Wong, Victor
860517 O'Neal, Ryan
909175 Pesci, Joe
1052165 Searcy, Nick
117775 Boehiem, Jim
1138243 Sze, Vincent
466000 Haim, Corey
932151 Postlethwaite, Pete
813997 Moses, William R.
229576 Connolly, Billy
950682 Raffaelli, Cyril
957498 Rapaport, Michael
333022 Eldard, Ron
11730 Aiello, Danny
66539 Banderas, Antonio
648095 Lamas, Lorenzo
844270 Nicholson, Jack
1257672 Wille, Brandt
543446 Iseya, Yûsuke
329674 Efron, Zac
556253 Jauregui, Robert
893469 Pasquale, Steven
174389 Cannavale, Bobby
41546 Aresco, Joey
591725 Kaushik, Satish
754457 McAvoy, James
88594 Bell, Jamie
773072 Mellencamp, John
319291 Dunn, James
87444 Bekjarev, Ivan
130039 Bowen, Michael
1133182 Sutherland, Kiefer
1093937 Smits, Jimmy
972187 Reynolds, Burt
1078115 Simm, John
227538 Combs, Jeffrey
715023 Madrid, Robert
24341 Altamura, John
1229045 Walken, Christopher
381286 Foxx, Jamie
546492 J, Violent
651774 Lange, Artie
660118 Lawrence, Martin
630700 Krasinski, John
436568 Gosling, Ryan
1261823 Willis, Bruce
248209 Crowe, Russell
703913 Lundgren, Dolph
9686 Agresta, Mike
760783 McGaham, Michael
382814 Franco, James
106645 Billy, Tony
2639 Abesamis, Americus
1099207 Song, Kang-ho
31426 Anderson, Steve
196408 Chan, Jackie
169937 Caltagirone, Daniel
433486 Goodes, Liam
689807 Lloyd, Jerry
1095355 Snyder, James
914989 Phillippe, Ryan
727799 Mantegna, Joe
82756 Bean, Sean
1263865 Wilson, Luke
243666 Cram, Paul
186997 Cassel, Vincent
288452 Depardieu, Gérard
382814 Franco, James
1100294 Sorimachi, Takashi
803000 Montias, John-Luke
6649 Adams, Shea
7745 Adkins, Trace
898514 Payne, Bruce
1199464 Van De Yacht, Bernie
401923 Garcia, Adam
964830 Reese, Matthew
1074112 Sidney, Michael
336885 Embry, Ethan
378247 Forsythe, William
41203 Areces, Carlos
519328 Hope, William
1165190 Tiernan, Tommy
848922 Nivola, Alessandro
1159667 Thomas, Henry
1285326 Young, Burt
65379 Balme, Timothy
558324 Jenkins, Carter
762272 McGregor, Ewan
257499 Dacascos, Mark
143211 Broderick, Matthew
973557 Rhys Meyers, Jonathan
466826 Halatsis, Philippos
381271 Foxworthy, Jeff
550492 Jagger, Mick
309626 Douglas, Michael
257874 Dafoe, Willem
460928 Gyllenhaal, Jake
297682 Dillahunt, Garret
595269 Keitel, Harvey
746552 Matheson, Hans
256651 D, Mike
55420 Azevedo, Geraldo
8592 Affleck, Casey
606792 Kilmer, Val
88366 Bell, Chris
838303 Nelson, Ian
52677 Austin, Randy
812919 Mortensen, Viggo
961751 Rea, Stephen
135271 Brando, Marlon
998154 Rooker, Michael
563536 Johansson, Paul
253182 Curry, Tim
764390 McKenzie, Rocky
973010 Rhee, Phillip
900352 Peck, J. Eddie
325720 Eastwood, Clint
463046 Haas, Lukas
932545 Potter, Chris
582442 Kam, Woo-seong
1119882 Stiller, Jerry
1266734 Wiper, Scott
1102535 Spacey, Kevin
575439 Judge, Mike
790015 Milushev, Boyan
1241612 Weber, Jake
693717 Long, Justin
193958 Cevic, Chris Ivan
418166 Gibson, Tyrese
428489 Goldblum, Jeff
196408 Chan, Jackie
1002810 Rossi, Mick
49050 Assor, Adolfo
145190 Brosnan, Pierce
428048 Gold, Ari
1250727 Whishaw, Ben
1289144 Zagarino, Frank
371436 Flemyng, Jason
720244 Makovetskiy, Sergey
398367 Gallardo, Carlos
1240086 Wayans, Damon
1069499 Shimada, Takuya
70106 Bardem, Javier
414078 Gere, Richard
135223 Brandise, Thomas
257874 Dafoe, Willem
709722 Mabe, Ricky
514922 Holland, Josh
251406 Cumming, Alan
143385 Brodský, Vlastimil
13984 Al-Amir, Hudhail
466369 Hajdu, Szabolcs
87560 Belafonte, Harry
487524 Hawke, Ethan
31286 Anderson, Rocky Mayor
257874 Dafoe, Willem
297980 Dillon, Matt
248209 Crowe, Russell
352943 Farley, Chris
820107 Mundy, Kevin
309626 Douglas, Michael
518864 Hooks, Brian
838804 Nelson, Tim Blake
974103 Ribisi, Giovanni
344617 Estevez, Joe
226460 Collymore, Stan
243348 Craig, Edwin
1003713 Roth, Tim
191169 Caviezel, James
965037 Reeves, Keanu
310012 Dourif, Brad
1160104 Thomas, Marcus
780031 Meyer, Breckin
1252051 White, Michael Jai
1043633 Schneider, Paul
1011715 Russell, Kurt
686312 Liotta, Ray
160402 Burton, Richard
129647 Bova, Raoul
171874 Campbell, Bruce
520661 Horneff, Wil
1238730 Watson, Barry
660118 Lawrence, Martin
414078 Gere, Richard
1126019 Strong, Rider
869679 Omari, Morocco
717209 Maguire, Tobey
187308 Cassini, John
361995 Ferrell, Will
745972 Matarazzo, Neal
850837 Nolte, Nick
386467 Freeman, Morgan
243898 Crane, Dan
414078 Gere, Richard
665751 Lee, Hyun-kyoon
589524 Kassir, John
62383 Baker, Simon
1066864 Shen, Parry
