318039 Dumont, José
1212 Abbasi, Riz
753466 Mazzello, Joseph
754864 McCabe-Lokos, Maxwell
674561 Leslie, Ed
5872 Adams, Brandon Quintin
327804 Edgerton, Nash
80713 Baumgartner, Paul
1009701 Ruiz, José Carlos
965037 Reeves, Keanu
1069271 Shijda, Kenji
1192154 Underwood, Jay
390843 Fuchel, Kurt
100929 Bertucci, Patrick
1108593 Stadlober, Robert
68621 Bararra, Art
584324 Kaneshiro, Takeshi
961751 Rea, Stephen
14946 Alaskey, Joe
464221 Hader, Bill
858600 O'Connor, Michael
51756 August, John
1158904 Thomas, Aaran
637278 Kumar, Akshay
946029 Quarry, Robert
781411 Michael, Christopher
401012 Gannon, Jamie
419803 Giles, Rhett
537408 Idle, Eric
386467 Freeman, Morgan
153341 Buckland, Daniel
645283 Lafferty, James
613996 Kizzier, Heath
327800 Edgerton, Joel
393125 Fuoco, Nick
82745 Bean, Reathel
321372 Durr, Jason
1166739 Tindall, John
1178677 Trese, Adam
17304 Alejandro, César
594610 Keenan, Will
64777 Ballantine, Carl
182394 Carrillo, Fernando
444139 Green, Brian Austin
1080747 Sinbad
120979 Bonanno, Mike
211595 Chunga, Jimmy
562790 Jodorowsky, Axel
472807 Hancock, Martin
937319 Price, Connor
808804 Morgan, Burke
976313 Richardson, John
1018197 Safary, Darsheel
1238730 Watson, Barry
383620 Frankel, Mark
267853 Davis Jr., Sammy
388779 Friels, Colin
1107020 Spurlock, Morgan
164010 Byron, Bruce
57904 Bacon, Kevin
789011 Mills, Bob Jay
868738 Olsen, Gary
1116767 Stern, Daniel
960421 Ray, Aldo
621748 Kokontei, Shinchô
270935 Day, Jai
1159524 Thomas, Frank
253762 Cusack, John
116827 Bobo, Jonah
1178149 Trejo, Danny
108031 Birkin, David
380890 Fox, Jeremy
986027 Roberts, Ted Jan
21338 Allen, Erik
554117 Janoff, Bob
399041 Gallo, Vincent
506895 Hill, Terence
843123 Nguyen, Dustin
889707 Park, Ray
485992 Hatosy, Shawn
1061990 Shakur, Tupac
321186 Duris, Romain
898341 Paxton, James
828315 Na Songkhla, Chalad
349595 Fahey, Jeff
424560 Glave, Matthew
828562 Naceri, Samy
30667 Anderson, Jeff
820277 Muniz, Frankie
293208 Di Cione, Sevy
1000163 Rosen, David
1137770 Szabo, Laci
76435 Barton-Grimley, Ryan
62364 Baker, Scott Thompson
992153 Rodríguez, Freddy
838426 Nelson, Joshua
320019 Duplass, Mark
739543 Martinez, Adrian
237477 Cortese, Joseph
890721 Parker, Trey
334878 Elliott, Jack
602892 Khabenskiy, Konstantin
414106 Geren, Ron
1187359 Turner, Tyrin
879511 Pabón, Mario
1266496 Winters, Anthony
995527 Rollin, Pascal
1272446 Woodrow, Jesse
768300 McShane, Ian
39580 Arana, Tomas
546618 Jaa, Tony
724787 Mandylor, Costas
191769 Cecchi, Carlo
28737 Ana, Doru
1179815 Trintignant, Jean-Louis
1199142 Van Cleef, Lee
104417 Bichir, Bruno
97539 Berlanga, Daniel
784419 Mikami, Kan
420657 Gilliam, Seth
690019 Lo Bianco, Tony
527406 Hudson, Gary
821225 Murata, Takehiro
144210 Brooker, Gary
1084505 Skarsgård, Gustaf
1034809 Sauras, Alejo
376693 Ford, Leon
1256493 Wiles, Jason
69673 Barboza, Richard
665240 Lee, Danny
225735 Collins, Greg
830894 Nakamura, Shidô
208758 Chow Man-Kin, Michael
196215 Chan, Billy
412945 George, Deva
131510 Boyd, Stephen
346987 Eve, Trevor
361797 Ferreira, Louis
870918 Oparei, Deobia
860172 O'Loughlin, Alex
849536 Noble, Andre
1104042 Speight Jr., Richard
492225 Heffernan, Kevin
153531 Buckley, Robert
24706 Altman, Robert
224102 Coleman, Jack
35477 Annunziata, Nick
1062859 Shannon, Michael
509243 Hirsch, Emile
135386 Brandon, Michael Robert
458676 Guskov, Aleksey
2298 Abel, Jake
1271398 Wood, Don
1168870 Todd, Tony
309132 Dougherty, Bob
305970 Donda, Jean-Claude
428489 Goldblum, Jeff
863826 Oestenstad, Kevin
672427 Leon
742509 Marvin, Lee
828256 N'Dour, Youssou
1177673 Travolta, John
754718 McBurney, Simon
778947 Messmer, Ben
233783 Cope, Zachary David
438939 Gracia, Andoni
480712 Harris, Michael
331418 Eisenach, Lucien
533810 Hutter, Xaver
508069 Hines, Brendan
152271 Brühl, Daniel
1275899 Wu, Daniel
163101 Buzzotta, Dave
1276827 Wyle, Noah
750416 Mauro, Dean
251406 Cumming, Alan
239221 Coster-Waldau, Nikolaj
797544 Mohanlal
693012 Lomborg, Bjørn
157696 Burke, Bryan
1074888 Sierra, Will
1113366 Steer, Oscar
114115 Bleu, Corbin
984249 Robbins, Greg
458439 Gurrola-Gal, F.X.
675462 Leung, Anson
